eid	roadmap_name	encode_biosample	match_quality	assay	accession	url	ext	file_size	bio_rep	experiment	encode_phase	pipeline_version	date_created	recommended	dest_path	source
E007	H1_Neuronal_Prog	neural progenitor cell	close	DNase	ENCFF281RRN	https://www.encodeproject.org/files/ENCFF281RRN/@@download/ENCFF281RRN.bam	bam	19900670677	2	ENCSR963ALV	ENCODE4	dnase-alignment-step-v-1-0	2020-11-06T17:49:08.263610+00:00	true	data/E007_H1_Neuronal_Prog/DNase/ENCFF281RRN.bam	ENCODE
E007	H1_Neuronal_Prog	neural progenitor cell	close	H3K27ac	ENCFF540SHX	https://www.encodeproject.org/files/ENCFF540SHX/@@download/ENCFF540SHX.bam	bam	2195427069	1	ENCSR449AXO	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-10T00:44:29.561102+00:00	false	data/E007_H1_Neuronal_Prog/H3K27ac/ENCFF540SHX.bam	ENCODE
E007	H1_Neuronal_Prog	neural progenitor cell	close	H3K27ac	ENCFF549PQA	https://www.encodeproject.org/files/ENCFF549PQA/@@download/ENCFF549PQA.bam	bam	2224331496	2	ENCSR449AXO	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-10T00:44:31.308717+00:00	true	data/E007_H1_Neuronal_Prog/H3K27ac/ENCFF549PQA.bam	ENCODE
E007	H1_Neuronal_Prog	neural progenitor cell	close	HiC	NOT_FOUND			0	0					false		
E011	hESC_CD184_Endoderm	endodermal cell	exact	DNase	ENCFF800HSD	https://www.encodeproject.org/files/ENCFF800HSD/@@download/ENCFF800HSD.bam	bam	21611433840	1	ENCSR940CXU	ENCODE4	dnase-alignment-step-v-1-0	2021-11-30T01:59:54.750008+00:00	true	data/E011_hESC_CD184_Endoderm/DNase/ENCFF800HSD.bam	ENCODE
E011	hESC_CD184_Endoderm	endodermal cell	exact	H3K27ac	ENCFF952DCG	https://www.encodeproject.org/files/ENCFF952DCG/@@download/ENCFF952DCG.bam	bam	1466516448	1	ENCSR200ETW	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-10T19:51:40.059436+00:00	false	data/E011_hESC_CD184_Endoderm/H3K27ac/ENCFF952DCG.bam	ENCODE
E011	hESC_CD184_Endoderm	endodermal cell	exact	H3K27ac	ENCFF029GGZ	https://www.encodeproject.org/files/ENCFF029GGZ/@@download/ENCFF029GGZ.bam	bam	1749126013	2	ENCSR200ETW	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-10T19:51:42.148341+00:00	true	data/E011_hESC_CD184_Endoderm/H3K27ac/ENCFF029GGZ.bam	ENCODE
E011	hESC_CD184_Endoderm	endodermal cell	exact	HiC	4DNFI9815EEJ	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/aa4d4497-7c6c-4dad-8040-be13ba07ea32/4DNFI9815EEJ.hic	hic	18100088287	0		4DN	in situ Hi-C	2020-03-14T17:01:24.344028+00:00	true	data/E011_hESC_CD184_Endoderm/HiC/4DNFI9815EEJ.hic	4DN
E013	hESC_CD56_Mesoderm	mesodermal cell	close	DNase	ENCFF604YMS	https://www.encodeproject.org/files/ENCFF604YMS/@@download/ENCFF604YMS.bam	bam	1546502242	1	ENCSR000EMX	ENCODE4	dnase-alignment-step-v-1-0	2020-11-12T05:32:53.675266+00:00	true	data/E013_hESC_CD56_Mesoderm/DNase/ENCFF604YMS.bam	ENCODE
E013	hESC_CD56_Mesoderm	mesodermal cell	close	H3K27ac	NOT_FOUND			0	0					false		
E013	hESC_CD56_Mesoderm	mesodermal cell	close	HiC	4DNFIJ8JKKWJ	https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/68b9a7b5-8413-44fc-8c2d-59a67b1c4166/4DNFIJ8JKKWJ.hic	hic	17151952463	0		4DN	in situ Hi-C	2019-08-19T14:00:55.062263+00:00	true	data/E013_hESC_CD56_Mesoderm/HiC/4DNFIJ8JKKWJ.hic	4DN
E028	Breast_vHMEC	mammary epithelial cell	close	DNase	ENCFF037PGN	https://www.encodeproject.org/files/ENCFF037PGN/@@download/ENCFF037PGN.bam	bam	7374449029	1	ENCSR817ALC	ENCODE4	dnase-alignment-step-v-1-0	2021-10-18T18:36:10.540522+00:00	true	data/E028_Breast_vHMEC/DNase/ENCFF037PGN.bam	ENCODE
E028	Breast_vHMEC	mammary epithelial cell	close	H3K27ac	ENCFF112MQP	https://www.encodeproject.org/files/ENCFF112MQP/@@download/ENCFF112MQP.bam	bam	812857171	1	ENCSR000ALW	ENCODE4	chip-seq-alignment-step-v-2-0	2020-09-30T05:44:38.350667+00:00	true	data/E028_Breast_vHMEC/H3K27ac/ENCFF112MQP.bam	ENCODE
E028	Breast_vHMEC	mammary epithelial cell	close	H3K27ac	ENCFF041ROD	https://www.encodeproject.org/files/ENCFF041ROD/@@download/ENCFF041ROD.bam	bam	587869952	2	ENCSR000ALW	ENCODE4	chip-seq-alignment-step-v-2-0	2020-09-30T05:44:40.244498+00:00	false	data/E028_Breast_vHMEC/H3K27ac/ENCFF041ROD.bam	ENCODE
E028	Breast_vHMEC	mammary epithelial cell	close	HiC	ENCFF039SIJ	https://www.encodeproject.org/files/ENCFF039SIJ/@@download/ENCFF039SIJ.hic	hic	5796299950	1	ENCSR707XVJ	ENCODE4	hic-diploidification-step-v-1-1	2022-11-01T04:55:06.131853+00:00	true	data/E028_Breast_vHMEC/HiC/ENCFF039SIJ.hic	ENCODE
