cell_type	assay	accession	url	ext	file_size	bio_reps	experiment	encode_phase	pipeline_version	date_created	recommended	dest_path	output_type	assembly
HMEC	HiC	ENCFF039SIJ	https://www.encodeproject.org/files/ENCFF039SIJ/@@download/ENCFF039SIJ.hic	hic	5796299950	1	ENCSR707XVJ	ENCODE4	hic-diploidification-step-v-1-1	2022-11-01T04:55:06.131853+00:00	true	data/HMEC/HiC/ENCFF039SIJ.hic	haplotype-specific contact matrix	GRCh38
HSMM	DNase	ENCFF372SZT	https://www.encodeproject.org/files/ENCFF372SZT/@@download/ENCFF372SZT.bam	bam	2945700325	2	ENCSR000EOO	ENCODE4	dnase-alignment-step-v-1-0	2020-11-18T18:18:55.777359+00:00	true	data/HSMM/DNase/ENCFF372SZT.bam	unfiltered alignments	GRCh38
HSMM	H3K27ac	ENCFF702NBI	https://www.encodeproject.org/files/ENCFF702NBI/@@download/ENCFF702NBI.bam	bam	844724698	2	ENCSR000ANF	ENCODE4	chip-seq-alignment-step-v-2-0	2020-09-30T05:16:38.664606+00:00	true	data/HSMM/H3K27ac/ENCFF702NBI.bam	unfiltered alignments	GRCh38
HSMM	ATAC	NOT_FOUND			0						false			
HSMM	HiC	NOT_FOUND			0						false			
HUVEC	DNase	ENCFF309JXB	https://www.encodeproject.org/files/ENCFF309JXB/@@download/ENCFF309JXB.bam	bam	1708935246	1	ENCSR000EKF	ENCODE4	dnase-alignment-step-v-1-0	2020-11-20T17:11:38.527091+00:00	true	data/HUVEC/DNase/ENCFF309JXB.bam	unfiltered alignments	GRCh38
HUVEC	H3K27ac	ENCFF034UBN	https://www.encodeproject.org/files/ENCFF034UBN/@@download/ENCFF034UBN.bam	bam	839604287	2	ENCSR000ALB	ENCODE4	chip-seq-alignment-step-v-2-0	2020-09-30T06:02:54.618529+00:00	true	data/HUVEC/H3K27ac/ENCFF034UBN.bam	unfiltered alignments	GRCh38
HUVEC	ATAC	NOT_FOUND			0						false			
HUVEC	HiC	ENCFF091YKP	https://www.encodeproject.org/files/ENCFF091YKP/@@download/ENCFF091YKP.hic	hic	6663437113	1	ENCSR788FBI	ENCODE4	hic-diploidification-step-v-1-1	2022-11-04T04:12:22.269852+00:00	true	data/HUVEC/HiC/ENCFF091YKP.hic	haplotype-specific contact matrix	GRCh38
K562	DNase	ENCFF987IUK	https://www.encodeproject.org/files/ENCFF987IUK/@@download/ENCFF987IUK.bam	bam	22618360899	1	ENCSR000EKS	ENCODE4	dnase-alignment-step-v-1-0	2020-11-22T08:12:24.262549+00:00	true	data/K562/DNase/ENCFF987IUK.bam	unfiltered alignments	GRCh38
K562	H3K27ac	ENCFF353PVU	https://www.encodeproject.org/files/ENCFF353PVU/@@download/ENCFF353PVU.bam	bam	3104359947	3	ENCSR000AKP	ENCODE4	chip-seq-alignment-step-v-2-0	2022-06-14T16:57:27.259415+00:00	true	data/K562/H3K27ac/ENCFF353PVU.bam	unfiltered alignments	GRCh38
K562	ATAC	ENCFF441TRR	https://www.encodeproject.org/files/ENCFF441TRR/@@download/ENCFF441TRR.bam	bam	2670275079	2	ENCSR859USB	ENCODE4	atac-seq-alignment-step-v-2-1	2022-03-02T09:24:01.044225+00:00	true	data/K562/ATAC/ENCFF441TRR.bam	unfiltered alignments	GRCh38
K562	HiC	ENCFF822UUX	https://www.encodeproject.org/files/ENCFF822UUX/@@download/ENCFF822UUX.hic	hic	32155810430	9	ENCSR408AJG	ENCODE4		2024-08-19T05:20:15.390659+00:00	true	data/K562/HiC/ENCFF822UUX.hic	mapping quality thresholded contact matrix	GRCh38
NHEK	DNase	ENCFF478FRB	https://www.encodeproject.org/files/ENCFF478FRB/@@download/ENCFF478FRB.bam	bam	2404225843	1	ENCSR000ELH	ENCODE4	dnase-alignment-step-v-1-0	2020-11-20T17:00:40.128156+00:00	true	data/NHEK/DNase/ENCFF478FRB.bam	unfiltered alignments	GRCh38
NHEK	H3K27ac	ENCFF299ZJS	https://www.encodeproject.org/files/ENCFF299ZJS/@@download/ENCFF299ZJS.bam	bam	493081782	2	ENCSR000ALK	ENCODE4	chip-seq-alignment-step-v-2-0	2020-09-30T05:57:57.467914+00:00	true	data/NHEK/H3K27ac/ENCFF299ZJS.bam	unfiltered alignments	GRCh38
NHEK	ATAC	ENCFF348JMW	https://www.encodeproject.org/files/ENCFF348JMW/@@download/ENCFF348JMW.bam	bam	20965171644	2	ENCSR158XTU	ENCODE4	atac-seq-alignment-step-v-2-1	2021-03-16T22:25:36.464976+00:00	true	data/NHEK/ATAC/ENCFF348JMW.bam	unfiltered alignments	GRCh38
NHEK	HiC	4DNFIL9M97T2	https://data.4dnucleome.org/files-processed/4DNFIL9M97T2/@@download/4DNFIL9M97T2.hic	hic	0						false	data/NHEK/HiC/4DNFIL9M97T2.hic	4DN processed	
NHLF	DNase	ENCFF807OQU	https://www.encodeproject.org/files/ENCFF807OQU/@@download/ENCFF807OQU.bam	bam	2276747074	2	ENCSR000EPR	ENCODE4	dnase-alignment-step-v-1-0	2021-02-08T18:41:40.248574+00:00	true	data/NHLF/DNase/ENCFF807OQU.bam	unfiltered alignments	GRCh38
NHLF	H3K27ac	ENCFF960VIQ	https://www.encodeproject.org/files/ENCFF960VIQ/@@download/ENCFF960VIQ.bam	bam	467952002	2	ENCSR000AMR	ENCODE4	chip-seq-alignment-step-v-2-0	2020-08-14T06:54:12.566217+00:00	true	data/NHLF/H3K27ac/ENCFF960VIQ.bam	unfiltered alignments	GRCh38
NHLF	ATAC	NOT_FOUND			0						false			
NHLF	HiC	NOT_FOUND			0						false			
