cell_type	assay	accession	url	ext	file_size	bio_reps	experiment	encode_phase	pipeline_version	date_created	recommended	dest_path	output_type	assembly
E056_Foreskin_Fibro_2	DNase	ENCFF443DQB	https://www.encodeproject.org/files/ENCFF443DQB/@@download/ENCFF443DQB.bam	bam	2850621541	2	ENCSR000EPP	ENCODE4	dnase-alignment-step-v-1-0	2021-02-08T18:39:41.841591+00:00	true	data/E056_Foreskin_Fibro_2/DNase/ENCFF443DQB.bam	unfiltered alignments	GRCh38
E056_Foreskin_Fibro_2	H3K27ac	NOT_FOUND			0						false			
E056_Foreskin_Fibro_2	ATAC	NOT_FOUND			0						false			
E056_Foreskin_Fibro_2	HiC	NOT_FOUND			0						false			
E057_Foreskin_Kerat_2	DNase	ENCFF218LFH	https://www.encodeproject.org/files/ENCFF218LFH/@@download/ENCFF218LFH.bam	bam	4658540768	1	ENCSR724CND	ENCODE4	dnase-alignment-step-v-1-0	2020-11-16T21:35:13.216467+00:00	true	data/E057_Foreskin_Kerat_2/DNase/ENCFF218LFH.bam	unfiltered alignments	GRCh38
E057_Foreskin_Kerat_2	H3K27ac	ENCFF661IMO	https://www.encodeproject.org/files/ENCFF661IMO/@@download/ENCFF661IMO.bam	bam	3643401903	2	ENCSR637ISS	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-01T21:44:51.611675+00:00	true	data/E057_Foreskin_Kerat_2/H3K27ac/ENCFF661IMO.bam	unfiltered alignments	GRCh38
E057_Foreskin_Kerat_2	ATAC	ENCFF348JMW	https://www.encodeproject.org/files/ENCFF348JMW/@@download/ENCFF348JMW.bam	bam	20965171644	2	ENCSR158XTU	ENCODE4	atac-seq-alignment-step-v-2-1	2021-03-16T22:25:36.464976+00:00	true	data/E057_Foreskin_Kerat_2/ATAC/ENCFF348JMW.bam	unfiltered alignments	GRCh38
E057_Foreskin_Kerat_2	HiC	NOT_FOUND			0						false			
E058_Foreskin_Kerat_3	DNase	ENCFF218LFH	https://www.encodeproject.org/files/ENCFF218LFH/@@download/ENCFF218LFH.bam	bam	4658540768	1	ENCSR724CND	ENCODE4	dnase-alignment-step-v-1-0	2020-11-16T21:35:13.216467+00:00	true	data/E058_Foreskin_Kerat_3/DNase/ENCFF218LFH.bam	unfiltered alignments	GRCh38
E058_Foreskin_Kerat_3	H3K27ac	ENCFF661IMO	https://www.encodeproject.org/files/ENCFF661IMO/@@download/ENCFF661IMO.bam	bam	3643401903	2	ENCSR637ISS	ENCODE4	chip-seq-alignment-step-v-2-0	2020-10-01T21:44:51.611675+00:00	true	data/E058_Foreskin_Kerat_3/H3K27ac/ENCFF661IMO.bam	unfiltered alignments	GRCh38
E058_Foreskin_Kerat_3	ATAC	ENCFF348JMW	https://www.encodeproject.org/files/ENCFF348JMW/@@download/ENCFF348JMW.bam	bam	20965171644	2	ENCSR158XTU	ENCODE4	atac-seq-alignment-step-v-2-1	2021-03-16T22:25:36.464976+00:00	true	data/E058_Foreskin_Kerat_3/ATAC/ENCFF348JMW.bam	unfiltered alignments	GRCh38
E058_Foreskin_Kerat_3	HiC	NOT_FOUND			0						false			
E059_Foreskin_Melano_1	DNase	ENCFF768NBD	https://www.encodeproject.org/files/ENCFF768NBD/@@download/ENCFF768NBD.bam	bam	23039074924	1	ENCSR434OBM	ENCODE4	dnase-alignment-step-v-1-0	2020-11-16T21:45:19.239150+00:00	true	data/E059_Foreskin_Melano_1/DNase/ENCFF768NBD.bam	unfiltered alignments	GRCh38
